,distance,country,continent,duration,mode,co2,user_name,house,region,title,rank,institution,day,month,year
0,0,France,EU,738,other,0.075,Deria,Martell,Dorne,Septon,H,Old Gods,13,10,2013
1,0,France,EU,57,other,0.075,Deria,Martell,Dorne,Septon,H,Old Gods,10,12,2019
2,0,France,EU,85,other,0.075,Deria,Martell,Dorne,Septon,H,Old Gods,6,10,2020
3,49,France,EU,34,other,0.20033,Deria,Martell,Dorne,Septon,H,Old Gods,14,5,2019
4,65,France,EU,6,train,0.01214,Deria,Martell,Dorne,Septon,H,Old Gods,13,3,2020
5,383,France,EU,46,plane,0.16508,Deria,Martell,Dorne,Septon,H,Old Gods,9,10,2013
6,383,France,EU,51,plane,0.16508,Deria,Martell,Dorne,Septon,H,Old Gods,3,4,2016
7,390,France,EU,59,other,0.01214,Deria,Martell,Dorne,Septon,H,Old Gods,3,12,2018
8,412,France,EU,33,car,0.20033,Deria,Martell,Dorne,Septon,H,Old Gods,5,10,2014
9,481,France,EU,100,other,0.01214,Deria,Martell,Dorne,Septon,H,Old Gods,28,4,2013
10,481,France,EU,38,train,0.01214,Deria,Martell,Dorne,Septon,H,Old Gods,26,1,2015
11,481,France,EU,12,train,0.01214,Deria,Martell,Dorne,Septon,H,Old Gods,24,6,2016
12,854,France,EU,80,plane,0.16508,Deria,Martell,Dorne,Septon,H,Old Gods,23,10,2018
13,452,Germany,EU,85,car,0.20033,Deria,Martell,Dorne,Septon,H,Old Gods,19,3,2018
14,877,Austria,EU,87,plane,0.14678,Deria,Martell,Dorne,Septon,H,Old Gods,4,9,2017
15,918,Spain,EU,108,plane,0.14678,Deria,Martell,Dorne,Septon,H,Old Gods,12,4,2014
16,1377,United Kingdom,EU,132,plane,0.14678,Deria,Martell,Dorne,Septon,H,Old Gods,5,5,2019
17,1413,Poland,EU,82,plane,0.14678,Deria,Martell,Dorne,Septon,H,Old Gods,9,6,2013
18,4374,Turkmenistan,AS,117,other,0.13712,Deria,Martell,Dorne,Septon,H,Old Gods,1,10,2016
19,8404,Canada,,2005,other,0.13712,Deria,Martell,Dorne,Septon,H,Old Gods,21,6,2015
20,6171,United States,,178,plane,0.13712,Deria,Martell,Dorne,Septon,H,Old Gods,14,3,2015
21,9094,South Korea,AS,182,plane,0.13712,Deria,Martell,Dorne,Septon,H,Old Gods,17,4,2015
22,9224,South Korea,AS,160,plane,0.13712,Deria,Martell,Dorne,Septon,H,Old Gods,8,11,2019
23,9905,Japan,AS,470,plane,0.13712,Deria,Martell,Dorne,Septon,H,Old Gods,13,10,2016
24,0,France,EU,11,other,0.075,Roger,Blackwood,Riverlands,Maester,G,Many-Faced God,15,11,2013
25,0,France,EU,6,other,0.075,Roger,Blackwood,Riverlands,Maester,G,Many-Faced God,27,6,2016
26,13,France,EU,9,car,0.20033,Roger,Blackwood,Riverlands,Maester,G,Many-Faced God,19,5,2017
27,72,France,EU,4,car,0.20033,Roger,Blackwood,Riverlands,Maester,G,Many-Faced God,26,6,2014
28,72,France,EU,10,car,0.20033,Roger,Blackwood,Riverlands,Maester,G,Many-Faced God,22,6,2016
29,72,France,EU,8,car,0.20033,Roger,Blackwood,Riverlands,Maester,G,Many-Faced God,12,6,2018
30,91,France,EU,11,other,0.20033,Roger,Blackwood,Riverlands,Maester,G,Many-Faced God,26,4,2019
31,94,France,EU,11,other,0.20033,Roger,Blackwood,Riverlands,Maester,G,Many-Faced God,26,3,2019
32,94,France,EU,30,car,0.20033,Roger,Blackwood,Riverlands,Maester,G,Many-Faced God,11,7,2019
33,94,France,EU,105,car,0.20033,Roger,Blackwood,Riverlands,Maester,G,Many-Faced God,28,9,2020
34,203,France,EU,29,plane,0.16508,Roger,Blackwood,Riverlands,Maester,G,Many-Faced God,5,10,2014
35,203,France,EU,17,car,0.20033,Roger,Blackwood,Riverlands,Maester,G,Many-Faced God,24,10,2016
36,203,France,EU,57,other,0.01214,Roger,Blackwood,Riverlands,Maester,G,Many-Faced God,10,12,2017
37,215,France,EU,81,car,0.20033,Roger,Blackwood,Riverlands,Maester,G,Many-Faced God,2,6,2015
